name,openinghour,price_level,image,rating,description,lat,lon,phone,address,website,place_id,category,postcode
Higher Ground,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 7:30 AM – 5:00 PM | Sunday: 7:30 AM – 5:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJ-R8fAE9d1moR3yFuI2x1z00%2Fphotos%2FAciIO2cY-d8ILp7Tm4YMb9AE0hf35zU17Y3PSPsg4EWOLxceQscqKbOSFLZfGRvtcQtANtk-smQUu-CyU_x-KavmeI4fiJEvclfbjQuPd28OwaO8yOCbTmDh5F6hwYZzwC3OoSCmqCzQndTfQM6as2Zkg3aNfLWsZcNt6a7XsZx6iHcZgQ9_ii_yUHsjlp0ybHBCGrlvF9dL_z1zHi7CUlzfZgTSscRewjHUVnK4Z7Vm4PL1qo3hg75MiWn6hgDnv3eYArCCvk-h8To9AurQEQ68BKtHqoKLndRFRZTHR0PWta36Og/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.1,"Modern, upscale bites in an industrial-chic former power station with exposed-brick walls.",-37.8158034,144.9530273,(03) 8899 6219,"650 Little Bourke St, Melbourne VIC 3000, Australia",https://highergroundmelbourne.com.au/,ChIJ-R8fAE9d1moR3yFuI2x1z00,Cafe,3000
Code Black Coffee Spencer Street,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,,https://places.googleapis.com/v1/places%2FChIJ-Y0h5itd1moRjNO5-_4SVVE%2Fphotos%2FAciIO2er76VoJB3JgG6kQg7RNXMg-Vo0q8vCxQuEo9zhbN8RkfQBk3o1f83nPsy_Y9Ln5Ik7gVxwm8WPKbxy-X4reZt-Hnl_w2wDBnNY2wPVdQnfbdISs_kl4e7D0pO-Svz63h6WT0mEj2ifMuaPG74o_qb3z51N7AxMxKviByiiRxUPE4NNYZJOUB1jNfwnoJUbWZaZuOJchPya9M9dU4v4GIRJ7B08G8sydYpzBWTjRwb8RHR8v6Yjq7OW5rwRAJYpi5fcAI-n4IJGZ4hDPYqOZZQno79MwASlevciZI9Nb5El_WaLtr6QG3Pou_YGsYy8I6GcT-CFNewJWw-XLXeGuklcjbKXLsp_jMNjvZybEojHzNaN8K_SF5pD_Cl2gLhXHDftSiATDTrSzT9Olgfvf-uJYl_7xKxng7QsfzYAPD0k7Q/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.1,"Absolutely amazing coffee! During our stay in Melbourne we visited Code Black Coffee on Spencer Street multiple times and tried the cold brews, several batch brews, and pour overs – every single one was outstanding. The service was consistently 5-star, with staff who are not only friendly but also incredibly knowledgeable and passionate about what they do. Highly recommend to anyone who appreciates quality coffee and great hospitality!",-37.817893,144.9538159,,"630 Little Collins St, Melbourne VIC 3000, Australia",https://codeblackcoffee.com.au/pages/spencer-street,ChIJ-Y0h5itd1moRjNO5-_4SVVE,Cafe,3000
KOI Dessert Bar Melbourne,Monday: Closed | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 9:00 PM,,https://places.googleapis.com/v1/places%2FChIJnwkZOqND1moR8sSB0apJ4_Y%2Fphotos%2FAciIO2eehpIMTAzvrCl-Vc8snRsh-Oqy-AyogwvMOg1aevqLuOVsJlIPRPe3ouR3W4QCV2HpctKoSI3SXy5k8yT4Pk-gfj4qgPaZNuX7LYx4nqh-mYyfApc5QWtrxKzg3uy4CFuP6O3mz3zKgeGtSjb6Q6Toid4sGeID6CdZV6SdzpwkIh9NwFYb0RHus1ADCtmme4nNUnMUWdvt296BTBv5fS65T4mQpXQ4HIrFp_JwT8qUD8coCHlacJLpym0yA0UWtoBTvgHFy9pp54en9lheloA4D3v9MVVv5AxRsV_-t1EO8AUjUeKNoHPz3YX2Gc6a96mYK5Kk0-VerOnsrPnBbho39lpm-6pAO5zGu_qbe-QkeIDTfKu6XIA6OWBe6Q7kv9KTRU_UZTdYi0kO8O5SFsIxoe299_se18_TFkrKJ5Oa3K7TvPPoxpmxjNqsBg/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.3,"Contrary to the warm service and the atmosphere of this modern dessert bar, the coldness of the desserts are only contrasted by their lack of complexity in flavour and overbearingness. This is in no fault of the staff. Whilst visually they're beautiful and striking and the texture interesting and varying, the flavour takes all attention from that in such a profoundly negative manner that I was left in awe at the high price tag. I would only return here for the work or date friendly atmosphere, staff, and rather pleasant coffee.",-37.8160634,144.96167830000002,(03) 9191 5188,"100 Queen St, Melbourne VIC 3000, Australia",https://www.koidessertbar.com.au/,ChIJnwkZOqND1moR8sSB0apJ4_Y,Cafe,3000
Spyglass Coffee,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 7:30 AM – 3:30 PM | Sunday: Closed,,https://places.googleapis.com/v1/places%2FChIJOfotPd1D1moRKBrT3Juq8fQ%2Fphotos%2FAciIO2fK-he3wim_U0XRvyePU15bnGt9OkWYHn6wHCkUKA6Q9GivJEGFHeKu-GjZlif42HTjlHQgxC42y-CrPC3lMjLy6_ECxshc7Ft58--Zc9bN4rspKFlJsBdJod0vJntwBswQz1hOAygq9AN2zIuGFQsDRCAX23BUElVeeMfre6nMFcx4EoGWGOYyHHBBNcO4prDsZc3kstVBhUtNiZLsiWvv0c1W245SfivGfJPar_777GKhWwtMtkGV_4p4sIXKtAyhMM5jkW9579nKmOV2F1UwBCiQT7xir-pjR2WQnQb77Q/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.8,"Classy atmosphere, super friendly staff and delicious food!!! Perfect spot to chill and study during the week! Their Porchetta focaccia is the bomb! The crispy pork belly is next level goodness! In terms of flavour I would say best in melb!!! The chicken Cotoletta too super flavourful!!",-37.8179319,144.9624049,,"34 Queen St, Melbourne VIC 3000, Australia",,ChIJOfotPd1D1moRKBrT3Juq8fQ,Cafe,3000
Plus Coffee & Co,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,,https://places.googleapis.com/v1/places%2FChIJFfuagElD1moRfHn5PWOZDqE%2Fphotos%2FAciIO2cedUDKHmqZejvUsvKEslWQ5OeqQ7bXdNgXTAsdHqml1pRHqmd3P7Wzyy80Qx7SQnF7UyYgrYqSMcHfFATKBMpkkRVGkSEdZ4TIbFBLUtMmtG2tyE1Ki4inTM3oBKu15YOHJGqYUzOwINZTUkKPnRpyKZamGtlxV3hMi2JYtVoUglmcZlDBzMNoG92HysYUVCwDylK1moFtgOOHaDFNCRjzurDJCatYLEh-hXyOW5R3Nffd12oy6qIJEubo8MdVlA3vOXS7I05u7KqxZz8ZtyzxyYkBcvo076tqV1FHoqUARA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.6,This trendy little cafe and roaster offers a range of affordable sandos and delicious drinks.,-37.8171645,144.9648549,,"Shop 1D/289 Flinders Ln, Melbourne VIC 3000, Australia",https://www.pluscoffeeco.com.au/,ChIJFfuagElD1moRfHn5PWOZDqE,Cafe,3000
Amie Bakery Cafe 500 Collins,Monday: 6:30 AM – 4:30 PM | Tuesday: 6:30 AM – 4:30 PM | Wednesday: 6:30 AM – 4:30 PM | Thursday: 6:30 AM – 4:30 PM | Friday: 6:30 AM – 4:30 PM | Saturday: Closed | Sunday: Closed,,https://places.googleapis.com/v1/places%2FChIJXxBI8NVd1moRD3rtldCWjGY%2Fphotos%2FAciIO2dxWP4eUSU1BHzgkLw0xP-peyaZmKjiyPPU2ehmHaZVgRg9xWYl5M7UyparmRSR4Juyk5kiGClvFKfUZbDv4Qs9cksxpA2L41IFa5dKXiQ3xl3pCewodyWchsvEQLvOKE9ALFAgk8UNVJdRVPL6JAbryyr5fXVlPMAgLG2rzMapZBfsddS0v5FYrroEBCbCdF-OFqKaOWzDbR_l7QI-tW2hFWDoUDTYzGYj6-lUwDeEoVIqiZklxEbAIbo14aNAX6il9R9X9bUx3IHJ-A5ivH1WBJROp9NyS9H1yCIwxyHbzA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,5,"Great spot for fresh banh mi style rolls, coffee, pies, and sweets. There’s a huge variety to choose from all made to order. There’s Vietnamese iced coffee was also great. Everything is very reasonably priced making it the perfect cheap breakfast or lunch spot. Staff were very friendly too.",-37.8176127,144.95748380000003,,"Shop 4b and 5/500 Collins St, Melbourne VIC 3000, Australia",https://www.amiebakerycafe.com.au/,ChIJXxBI8NVd1moRD3rtldCWjGY,Cafe,3000
First Love Coffee Collins St,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,,https://places.googleapis.com/v1/places%2FChIJu8iveCtd1moRf1RMo6LfaZA%2Fphotos%2FAciIO2fXlAslIlNC-tDsWKPGpPKVeZlLAGA9iOPw_RPU3yseJGgM_1FfTExdeDZQ8vRULjMuKt9hNXiSNiERSTfuiXvIAt3jm0e8oGsN81bvyXE4VUlOQ0Jxds7tIGczwnp2N6HcTvHaOQz751UH3cni0BcW5DAsbRc0iSBLfAPr6uaPaoFOUIpdRMt272II8ZsS_KdpkcGRH7YwH6ijt9dcUt-tsxfTW4vofwO4iGY2qpwbnRfrlaGH6-ZlePiJvpOxcDIjmZv9RqCPn8HDMKq3e14eQ7UBLlr05d586RGn6NW12g/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.5,"One of the best coffee spots in town! Great atmosphere, friendly staff, and perfectly brewed coffee every time. Highly recommended!",-37.8176949,144.9597455,,"Tenancy 4/433 Collins St, Melbourne VIC 3000, Australia",https://firstlovecoffee.com.au/,ChIJu8iveCtd1moRf1RMo6LfaZA,Cafe,3000
Brunetti Oro Flinders Lane,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 8:00 AM – 10:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJg9OHO7RC1moR8LaOJz3PZok%2Fphotos%2FAciIO2cEzfQ03kI8ZoxOqeJSV91nX58AOZfTj__pRnAgItzxTzhAt7zYmt9rTgOUmTulDhQUF7fHDInbNPwesPs8IcvUCAbIaSg41qzhehRKSLVLC08jXpLk9vSCOCBv8QYGlcedZgNeH8936Qi_DsGia6HUJTfoAOaFLzC8rgUPX3cjsACVQTf0WP1QWXj4_V-NAl8c9WDXM0zwHYO_jnGcInC-r0tCT7AXRaADBPMA-qUo_1KFW8V5MAGVLIJ7DfaSarxHWCSpj4k5P65PaCQ66eIrg6h8AtfedWyt5NFTDUbeDSnRNPtxOE-eVBwucW0NdxA7HUPdRa7gErRQtZgtWYWyl7uNDLq0qHVSjOKMcPPMVtCThcc0gUBYEMWlnQa0D-FqKZljwkzckN_w-cGsefmnnQwnGeK-F9X3yckBAAUlUwK-V9Nj8KHngxgC7UCG/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.2,"Italian cafe known for sweets, serving pizza & housemade pasta in a modern space.",-37.8167025,144.96584,(03) 9069 3169,"250 Flinders Ln, Melbourne VIC 3000, Australia",https://brunettioro.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb-listing_flinderslane,ChIJg9OHO7RC1moR8LaOJz3PZok,Cafe,3000
The Quarter,Monday: 6:00 AM – 9:00 PM | Tuesday: 6:00 AM – 9:00 PM | Wednesday: 6:00 AM – 9:00 PM | Thursday: 6:00 AM – 9:00 PM | Friday: 6:00 AM – 10:00 PM | Saturday: 6:00 AM – 10:00 PM | Sunday: 7:00 AM – 9:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJzRa1FbRC1moR01tSbLByQ8s%2Fphotos%2FAciIO2ef4rhpCANtfBj4OmoW9Ah9K1C04dJjDdWjySDR9DfP8U6Us8JTJbRI9UPPZL8hg3N8pz5-MsEgqUb-59TjhTdaLTsdVaaOD_qZAmC7yxoJrHeKtoECwaikKBXOIHWoLrP4p46FZxeu5YwyrExA7blHwHYUna5wx79tCbstgBbgM5VNni_jdIYJummDQ7KyDkJM86HuP7oi6WXi2R5YJvrjReq26B-Dz3retjW9MFTwxG6I9jE3bjUVcRtLmztiCDenpBQSj5ttyZB1wYJyxqTgvDEq-FjYeFOG0_ayfGPs_Q/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.3,"Casual option serving bites such as tacos, pizza & sandwiches, plus coffee, cocktails & beer.",-37.817067,144.965565,(03) 9650 6156,"27-31 Degraves St, Melbourne VIC 3000, Australia",http://thequarter.com.au/,ChIJzRa1FbRC1moR01tSbLByQ8s,Cafe,3000
The Hardware Société,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJGTbCqEpd1moRvbLaxevnLtw%2Fphotos%2FAciIO2cMhIISN0ay2txJfoAJJVeK-syWAjJcD2urCCSYl4olL7PDz4kuW1kDIWKeIElJ_hOgHgYcX-Lxn7DpNjO-Zm7Obx9t3luAVanIDQpaT8Dr_Ly4k6pZLWvONw_ocq5Q5LE4OgwJUo7VH5odzabrhyjjWAdap9I8kuF7QzLJ7YmypZksfS13aOtzAXua9WL7EoiKmeJR5BIYZSZQ80-pEGPh2gmaEmH5Mc-ueMS6GskOCb5trXH1Qt9SBL0P9inbsqLTLRyGgc9uaFUvkdqF3Y7OeYiqctutOm9dU025aCdS6A/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.4,"French toast and baked eggs are staples at this compact, rustic-chic breakfast cafe with warm vibe.",-37.8200386,144.9566619,(03) 9471 1448,"10 Katherine Pl, Melbourne VIC 3000, Australia",http://hardwaresociete.com/,ChIJGTbCqEpd1moRvbLaxevnLtw,Cafe,3000
Collins Coffee House,Monday: 9:30 AM – 4:00 PM | Tuesday: 9:30 AM – 4:00 PM | Wednesday: 9:30 AM – 4:00 PM | Thursday: 9:30 AM – 4:00 PM | Friday: 9:30 AM – 4:00 PM | Saturday: 12:00 – 2:00 PM | Sunday: 12:00 – 2:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJCQNVUbNC1moRvc7o62F_xro%2Fphotos%2FAciIO2dYyhmXJEsSOJ5cEKQSM9g2KN6myR_pY_WI-L-meynaNvaaUGqwF4RQHd4tsc3DQjJc9pUlCOJaF6Rs64Wcuk6hrkcZxcyWbt4IEljfgF1ARCwUaTCRPrWwqyh1OSjZ63obFuw6UD7tib1WA0pJET5JPlQ84r1CN9iX4UnH5mKRsLIEeu2-SZNGIkrUjbA4w-dv6oxK6ac9zhWQbFev-Q0yrIwr_c_gzQyNhKBVWsFv88S6WXRgsVQf5EqiGDJbXgnn0vN6HggkiOGbpiQOqJkVEBMb3oXFm0egqnw2WbmLSHdbuFI6mHsgjg2zPteF3hcFCwmHqJxuxucN0jO-qeHoyxJ4zDCXoboY9aj4po27Jfh-eWdAs2xOhUZLX_MJxfRMpLxoFjQM_D16IaFG2ia1N6P70tOj8ncOF-2003QZiUlN/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.6,"Easily the best high tea I’ve ever been to. My friend booked me a surprise visit to Collins Coffee House for their Saturday high tea. It was amazing! I can’t wait to come back. The staff were absolutely lovely and very attentive, the venue is stunning, the food was fresh and great portion sizes. Added bonus, a violinist while you enjoyed your tea.",-37.8171734,144.961437,0403 621 725,"395 Collins St, Melbourne VIC 3000, Australia",http://www.collinscoffeehouse.co/,ChIJCQNVUbNC1moRvc7o62F_xro,Cafe,3000
