place_id,description,category
ChIJ-R8fAE9d1moR3yFuI2x1z00,"Modern, upscale bites in an industrial-chic former power station with exposed-brick walls.",cafe_brunch_bakery_desc
ChIJ-Y0h5itd1moRjNO5-_4SVVE,"Absolutely amazing coffee! During our stay in Melbourne we visited Code Black Coffee on Spencer Street multiple times and tried the cold brews, several batch brews, and pour overs – every single one was outstanding. The service was consistently 5-star, with staff who are not only friendly but also incredibly knowledgeable and passionate about what they do. Highly recommend to anyone who appreciates quality coffee and great hospitality! | Date of visit: 07/10/2025 Time: 4:08:45PM First time customer here and came in for a quick coffee on my way home from work. The man at the cashier Moses provided exceptional customer service. I asked what milk coffee do you offer and he said full cream only but assured me it’s the best milk to use for a white coffee. He was right. Tasted absolutely fantastic. I noticed he was supportive to the other baristas working behind the bar and making sure everything was under control, which is lovely to see. Great coffee and great vibe. Will definitely be back.",cafe_brunch_bakery_desc
ChIJnwkZOqND1moR8sSB0apJ4_Y,"Contrary to the warm service and the atmosphere of this modern dessert bar, the coldness of the desserts are only contrasted by their lack of complexity in flavour and overbearingness. This is in no fault of the staff. Whilst visually they're beautiful and striking and the texture interesting and varying, the flavour takes all attention from that in such a profoundly negative manner that I was left in awe at the high price tag. I would only return here for the work or date friendly atmosphere, staff, and rather pleasant coffee. | I am not type or person who ate cake often. But I like Reynold and his creation so I went to try. Cakes are nice,fresh(to me compare to few shop that feel frozen and old). I could see each components, it's interesting to see. The taste are good but Im not expert. only one down point for me is a bit pricey. But I understand somehow as they sell for technique and ideas. So It's kind of you eat art piece.",cafe_brunch_bakery_desc
ChIJOfotPd1D1moRKBrT3Juq8fQ,"Classy atmosphere, super friendly staff and delicious food!!! Perfect spot to chill and study during the week! Their Porchetta focaccia is the bomb! The crispy pork belly is next level goodness! In terms of flavour I would say best in melb!!! The chicken Cotoletta too super flavourful!! | A quick stop for coffee and croissant and boy is there pan au chocolat nice and chocolatey. Every single bit. Crispy on the outside, soft on the inside. Good find! Musics a bit loud so not a quiet coffee place. They have sandwiches and salads as well that could be worth a try if the croissants were so good!",cafe_brunch_bakery_desc
ChIJFfuagElD1moRfHn5PWOZDqE,This trendy little cafe and roaster offers a range of affordable sandos and delicious drinks. ,cafe_brunch_bakery_desc
ChIJXxBI8NVd1moRD3rtldCWjGY,"Great spot for fresh banh mi style rolls, coffee, pies, and sweets. There’s a huge variety to choose from all made to order. There’s Vietnamese iced coffee was also great. Everything is very reasonably priced making it the perfect cheap breakfast or lunch spot. Staff were very friendly too. | Cute little bakery, Vietnamese restaurant tucked away down a lane. You might miss it! I got a Vietnamese grilled chicken salad. 16 dollars, super large portion and so tasty! The staff were very friendly",cafe_brunch_bakery_desc
ChIJu8iveCtd1moRf1RMo6LfaZA,"One of the best coffee spots in town! Great atmosphere, friendly staff, and perfectly brewed coffee every time. Highly recommended! | Incredible coffee! Absolutely amazing! Up there with the great coffees of Melbourne! Loved the atmosphere and decor inside, friendly staff, and it was great to see so many gluten free snacks. Recommend! I would return!",cafe_brunch_bakery_desc
ChIJg9OHO7RC1moR8LaOJz3PZok,"Italian cafe known for sweets, serving pizza & housemade pasta in a modern space.",cafe_brunch_bakery_desc
ChIJzRa1FbRC1moR01tSbLByQ8s,"Casual option serving bites such as tacos, pizza & sandwiches, plus coffee, cocktails & beer.",cafe_brunch_bakery_desc
ChIJGTbCqEpd1moRvbLaxevnLtw,"French toast and baked eggs are staples at this compact, rustic-chic breakfast cafe with warm vibe.",cafe_brunch_bakery_desc
ChIJCQNVUbNC1moRvc7o62F_xro,"Easily the best high tea I’ve ever been to. My friend booked me a surprise visit to Collins Coffee House for their Saturday high tea. It was amazing! I can’t wait to come back. The staff were absolutely lovely and very attentive, the venue is stunning, the food was fresh and great portion sizes. Added bonus, a violinist while you enjoyed your tea. | My husband and I celebrated our wedding anniversary with afternoon tea at Collins Coffee House. The historic building and eclectic seating add to the atmosphere and the food was lovely. There was an interesting variety of savouries and sweets even with their gluten free items which I required, and the service was attentive. It was a delightful experience.",cafe_brunch_bakery_desc
ChIJWeak6YBD1moRtfyrERisY4Q,"The most amazing coffee. You have to try the dirty coconut coffee from their Signature Dirty Coffees menu! The staff are also super friendly. My wife had the Morning Bar Coco which she loved and said it wasn't too sweet. | If you are looking for the Melbourne coffee culture, this is the place you have to visit to get the experience. Excellent location in the CBD area, underground atmosphere, and friendly staff. If you want to go out of your comfy zone, the Dirty Coconut coffee is highly recommended!! Enjoy 😉",cafe_brunch_bakery_desc
ChIJT61MWNlD1moRbJAotYDnIGQ,"Finally tried Lune as I’m usually buying from Agathe or South Melbourne bakery. We tried a few and the quality is good, crunchy and soft. Our favourite was the ham and cheese, absolutely delicious. Always wondered about the line every weekend and then we saw how small it is on the inside. Quality might have something to do with it too. They’re expensive but what isn’t these days. Service was excellent. Thank you 🙏 | I was here for at least 3 times over a week during my holidays here in late July. That explains how good the pastry here is. Tasted almost everything that is offered here. Price is on the high side, but the quality made it up. This cafe is a bit small, more suitable for takeaway or a quick bite before you move on. There is road side parking just right in front of the cafe so it is very convenient for those who drives.",cafe_brunch_bakery_desc
ChIJSxIgKrRC1moR16XSMelL-sg,"Amazing stuff. Has these for the first time in Sydney and it's sad that Melbourne doesn't have more locations. The cheesecakes are light fluffy and creaming. Just amazing. The Madeline have the most wonderful honey scent, perfect with a cup of black tea. I also got myself a mango cream crepe, messy to eat so I would recommend sit down and eat it in a bowl with a fork. But it's amazing. None of the desserts are too sweet, just the perfect amount, which is the best compliment for Asian sweets. Definitely give it a try if you are interested in Japanese style sweet. I came at 11:50am and was the first person in line for 12pm opening, worth it seeing the care being put into the making process. | Loved their cheesecake, it’s soft, not too airy or dense, and doesn’t have that eggy taste some cheesecakes do. I also tried their crème brûlée crepe, which was creamy and packed with strawberry filling and two slices of cheesecake inside. Definitely worth trying at least once!",cafe_brunch_bakery_desc
ChIJ25x2xuFd1moRVl-vqCL_ZGo,"We tried their famous Peanut Cream Latte $7.70 – not really our taste 😅 it just tastes like peanut butter! The flavour is unique though — maybe others would enjoy it more. The café is cozy and nicely designed. There’s always a line, but it moves quickly. Might come back to try other flavours next time. | Visiting this cafe has become part of my weekly routine, even though I’ve only ever ordered one drink. The Peanut Creme Latte is so good that I just keep coming back for it! The customer service is great, with staff who are always cheerful and accommodating. It can get quite busy at peak hours, but the queues move quickly. Definitely worth checking out if you’re in the CBD.",cafe_brunch_bakery_desc
ChIJw3ZAzdJD1moRdTHBsWBAcao,"I always go to Maker. The coffee is very consistent and really good. I usually get Batch brews, but I’ve tried latte, flat white, macchiato, long black, and mocha. I prefer getting just batch brew or a regular latte. Always ask for the bean! It’s so interesting reading the description of what you’re drinking | The environment in the store is great! It's very atmospheric to shoot casually! The coffee beans used in the store are also very good. Because my friend didn't have lunch that day, I ordered a tiramisu. I didn't expect it to be a Swiss roll type. Unexpectedly, I found that it was delicious. There were a lot of people in the store, but it didn't affect my chatting with my friends. Moreover, this restaurant is not like other stores that will drive away when they are about to close. Customer, the clerk is very friendly.",cafe_brunch_bakery_desc
ChIJywGq8jRd1moR5nQ1m6DgWEI,"Came across Cafe Belt when I was looking for a good coffee in town, an interesting few choices on the menu, so I tried something new, the Vegeta, coffee with Edememe Milk, it was rich, mildly sweet & very smooth, my friend had a hot chocolate which he said was delicious. I definitely recommend a visit if your from our of town like me, it would be a regular for anyone local. Customer service was great, so friendly & accommodating, thanks for a wonderful experience | A little cafe at the roadside, popular and cozy. kind and friendly staff providing good service. Limited choice for breakfast, only pastries. Ordered an almond croissant and long black large. The long black was unexpectedly good, it had a a fruity smell and taste, not able to taste any outstanding flavor, but already quite amazing that it was without a little bitterness . The almond croissant was full of almond on top, it was slightly crispy outside, but too soft inside, and the sweetness dominated the taste, very little to no butter flavor could be tasted. Total $12.5 cash. Worth coming back for the coffee and cozy environment, for working but may not want to have the pastries.",cafe_brunch_bakery_desc
ChIJWed4TjVd1moRBMXZM1lHTR4,"Artisanal donuts & organic coffee in a snug space with chic, minimalist decor & limited seating.",cafe_brunch_bakery_desc
ChIJjQLxXzVd1moRm6Cg5UkgViI,Craft coffee & creative brunch options in a bustling cafe-bakery with a vintage redbrick facade.,cafe_brunch_bakery_desc
ChIJf4q6nkxd1moRawpiDcr8X34,"One of our new favourite places in Melbourne to enjoy French patisseries. High quality cakes ( full size and minis), slices and beads. There is seating inside to enjoy the food and excellent coffee and other drinks. Best to order wanting to take away. | The Mog Champ sends his regards. Ordered a birthday cake here for a special person two months ago and wanted to leave a positive review! They require a day's notice for an order of one of their amazing cakes. They charged about $5 for the customised message as well. The black forest cake was delicious, they have a nice seating arrangement inside if people wanted to stop by to have a drink and dessert too. Thanks for the fancy cake Le Petit! Mogliest Regards, Your Mog Champ",cafe_brunch_bakery_desc
ChIJHZeEMVdD1moROPT4js9HnXw,"Great coffee, amazing food, and a modern black-and-white space that feels so clean and unique. Staff are super friendly and knowledgeable, explained everything perfectly. Loved the biscuit (not too sweet) and the toast was delicious. Absolutely worth a visit — I’d definitely come back again! | Good coffee in a modern designed cafe. There are some small tables if you need one, otherwise it is pretty much grab and go concept. Very instagram-worthy deco. No queue and coffee is served promptly.",cafe_brunch_bakery_desc
ChIJg1wLO7VC1moRrzObM92WgkU,"Choice coffee, brekkie & bagels in a bright, airy space with eclectic decor & a vintage-chic vibe.",cafe_brunch_bakery_desc
ChIJxRIPiMlC1moRLSuO5kfDqC0,"I have visited Dessert Story quite many times in the past 2 years. My favourite desserts are always the traditional grass jelly with various toppings and the mango sago.😋 The price level is quite reasonable. The staffs are nice and welcoming, though they were usually very busy. If you are from HK / PRC, you can probably speak Cantonese or Putonghua for ordering if you like. | Dessert Story is a reliable fix for late-night cravings in the CBD. The shop glows with pink signage and a wall of illustrated menus, so you can scope out your order before reaching the counter. Seating runs along communal benches and small tables tucked by the windows; it fills quickly after dinner hours but turn-over is fast enough that a spot usually opens within minutes. The menu leans Taiwanese, offering chewy taro balls over silky tofu pudding, grass jelly with red beans, and shaved ice piled high with fresh mango when it is in season. Portion sizes are generous and built for sharing. My go-to mix is the warm ginger syrup bowl topped with sweet potato balls that stay springy to the last spoonful. Drinks cover the bubble-tea basics, with brown sugar milk tea landing rich and perfectly balanced, boba still warm from the pot. Staff keep the line moving with brisk efficiency, calling orders by number and offering containers if you decide to take dessert on the run. Prices sit in that sweet spot between university-budget friendly and dessert-bar indulgent, so trying a couple of different toppings does not sting the wallet. The store stays open well past most cafés, making it a handy final stop after a movie or night class. For colourful comfort sweets, quick service, and a menu that encourages repeat visits, Dessert Story holds its place as a city staple.",cafe_brunch_bakery_desc
ChIJG7NvPrVC1moRsKRHrZ0JnVg,"Breakfasts and light lunches in a trendy, minimalist cafe with white walls and blackboard menus.",cafe_brunch_bakery_desc
ChIJNbbeGhpD1moRYhlJy2LyBRY,"I've visited twice and the desserts are always great. I've previously gotten the Green Tea Chocolate Bingsu to share, which was really nice & aesthetic. Last time I got a combo of strawberry shortcake & an iced tiramisu latte, the cake was delicious & the coffee too, but maybe a regular latte would do the trick for me since I didn't need that much sugar. | You can’t go wrong with Sulbing, especially if you’re craving bingsu! The sweetness is just right, the texture is smooth, and the serving sizes are generous with beautiful presentation. The seating is comfortable, making it a great spot to wind down and satisfy your sweet tooth. Their cake was incredibly soft and delicious too. The only slight letdown was the black sesame latte—it didn’t quite live up to the rest of the experience.",cafe_brunch_bakery_desc
ChIJPw7i7p9D1moRSuTZnGRGtBo,"Thought I'd try this place out since they have 1000s of stores in China and have low calorie americanos. I don't drink Americanos often but these flavored ones were pretty good, tried both the pomelo (you need to like a slightly sour taste) and coconut water. Extra star for the mega bottle which can be reused as a gym bottle. | It‘s my favourite cafe in Shanghai！I can’t believe I can see it in Melbourne！it looks so good and tastes well！",cafe_brunch_bakery_desc
