name,openinghour,price_level,image,rating,description,lat,lon,phone,address,website,place_id,category,postcode
Shiba Tea,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 10:00 PM,,https://places.googleapis.com/v1/places%2FChIJldysyzNd1moRE0QzgDfvoUk%2Fphotos%2FAciIO2eXyY2_nQNAO60T1CS5nJ9euSI3TJpEK1mVQeoL_F5DB6lOY3-vsIMeDcPj9Tn9duU7y6bk0IVieRoiYouT41huq9Z88g5DEeN0ecmQ_CLR5yL1EZvfR4fcf73ny1TXP72QSlb2jzNvBKce0P51HYN7yzfVRIfMnZSAPr02GF0U0ZAp353xcSwYZkDXAHnuOKrZkURVlu5F3MMFMNeJnFpKAMjIe5X0JWd32hHGh97cDaJddlUkgQs1SQsKcTWv3hilyvOudbC-uwuqpDJlaJx2W_aifpme0kJL-J60KvY5lA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.7,"I ordered via Hungry panda. When I came to pick up, the drink is ready to pick up. When I told your staff, he refused that wasn’t my drink. I was pretty sure that was mine because of the label on the cup. But if he said so, I decided to wait for another 15 mins. Came back and asked another staff and he got me that drink! This is so annoying. My drink has been sitting there for long time. All ice melt. I wasted my time for nothing! Your staff didn’t even apologize.",-37.8155861,144.9530587,(03) 9967 2666,"15 Watertank Way, Melbourne VIC 3000, Australia",,ChIJldysyzNd1moRE0QzgDfvoUk,Milk Tea,3000
Boost Juice,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJF0-p0FFd1moRMC42csVrm54%2Fphotos%2FAciIO2fUIeUwzNG1z_rRmbDpN6QmYE72SKFSYTnGFtrTQAvj7ywU3P4D9a2-qKxGZvsPhPSEZsaF9CAdnCO2xnbu3ECQf7DN8zM0mvJZVeAN-Fk7CN5ZxrK6SP79HWcZNyWKtfUYYF4-tOrnqzJ2BcRa9RrKAd0SRzOnp5UIhzutIQRt1D7qZ1qzWKyJvvF9mD2dupV0y8c1BoMS6mYdPt_FYy3kXpGxg4VKRgBorIk7Hc3vRfVGkEW7pisRbd3V9KsqjX45HFkDwYrZzjcKr4aomsc1t2jOt7Y8m1SNAWstr1LXk1cmRjrzECUMwuSm46CBeAwr0uLR_JET5T17s0ya7HuFc3beF2h_zaEKpmz0KJbYCE_W1I1XUU0oqKCnmlQWKGftBvmG4AwFSgQs1U8C7mMvHTr0gCXj2XWLl7CscKWCzRXP/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3,"Cheery, long-standing chain fixing up smoothies & juices with natural ingredients.",-37.818908,144.9535648,(03) 9642 1845,"Southern Cross, Spencer St &, Collins St, Docklands VIC 3000, Australia",http://www.boostjuice.com.au/,ChIJF0-p0FFd1moRMC42csVrm54,Juice,3000
Schmucks Bagels,Monday: 6:00 AM – 5:30 PM | Tuesday: 6:00 AM – 5:30 PM | Wednesday: 6:00 AM – 5:30 PM | Thursday: 6:00 AM – 5:30 PM | Friday: 6:00 AM – 5:30 PM | Saturday: 6:30 AM – 3:30 PM | Sunday: 6:30 AM – 3:30 PM,,https://places.googleapis.com/v1/places%2FChIJLaFu24xd1moRM5S_cRJ2Ehg%2Fphotos%2FAciIO2dzdf2ZAWIrsD5fbckEX1diYXKXd7uOBgc04VRuYrFtz_Fu3hddFw4jEdRxA8-rop3gP33oMMY_8lfbVkfA32Yrdy6MurXQWPck-BhKljDYhBGgNPEOpO3p2PnTxpH-oTtTJJVrcTL8P2OMQ-zaYmwScvxgygu6Q8Cz0G65dfOn4rEc8LfEp5crWwYa3bDuc1r6tIE4j42-KZi9J5N3lQg1GSLVFJtkZfpFrS5BTlWrmFYeZfmXptwFJ4WO2VdByuwV9EMZtGrawfD8tpDolFWyXiPKL_vqQdLUZNpy3pUMyA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.7,"One of my most enjoyable dining experiences in Melbourne’s CBD…! The bagels were delicious and filling, the drinks were rich in flavor, and everything was just perfect with Melbourne’s chill weather. Definitely a place I’ll return to many times whenever I’m in the city!",-37.818927,144.9553047,(03) 9614 3238,"Tenancy 9/567 Collins St, Melbourne VIC 3000, Australia",https://schmucksbagels.com.au/,ChIJLaFu24xd1moRM5S_cRJ2Ehg,Cafe,3000
Chatime 289 Flinders Lane,Monday: 10:30 AM – 9:30 PM | Tuesday: 10:30 AM – 9:30 PM | Wednesday: 10:30 AM – 9:30 PM | Thursday: 10:30 AM – 9:30 PM | Friday: 10:30 AM – 9:30 PM | Saturday: 10:30 AM – 9:30 PM | Sunday: 10:30 AM – 9:30 PM,PRICE_LEVEL_INEXPENSIVE,https://places.googleapis.com/v1/places%2FChIJOZZlbrRC1moRS6mwUMLSUps%2Fphotos%2FAciIO2ehDXvPH3a_kkpJ64w_poWovNHVj8HkjvSChi8Q5eO3I9NOVTAWmVluQHIvxpva9dfihzzG3qWE_kcu2BqgvtIvi3vJrCDLoW6HabfgV-Pm6f6Zet0vVq0GKrSzo2n2pb9bUdoIOx-B6bpPI37skS9qumm1SsLR7K6jWmc4mpE47g3dWvVeXm83igPCws0dAaAUT-IG3f4-8XZ4oc5Kx79GWLG8hyZhzIbibIimdoUQTVy0QiC7ld6pb72qcN5D-kT2apVOkSiQFs28oJUwyUf1h6fMwq4QKRdOGy2VYVDgw45ExTWRKbuCNV-IZbJ90fc4JcihLrfMpQ6HU85LC6SibGTTXQ-LrBIS1azTJcXS9jpbY4KG3A5tlOywop6l3k7hgRJaesEGI2NcG0WEk9k-tmWTtH8lguzoEwKEFwkKWWA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4,"Ordered my drink with half sugar but when I got the drink, it tasted so sweet that I could not drink more than a few sips of it as it just tasted like syrup. Had to throw it away. Went to this store a few years ago and had no issues.",-37.8171743,144.9647618,(03) 7047 6217,"289 Flinders Ln, Melbourne VIC 3000, Australia",https://chatime.com.au/,ChIJOZZlbrRC1moRS6mwUMLSUps,Milk Tea,3000
CoCo Bubble Tea Flinders Street,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 8:30 PM | Sunday: 11:00 AM – 8:30 PM,,https://places.googleapis.com/v1/places%2FChIJDaDOZDZD1moRfv6Og-Oqncg%2Fphotos%2FAciIO2dw3bYUxedorzXy-mj1KsCNVw5RAZaBsEukfWbDvURWAssdLNP6-QBaHlBJQAyT0bJ2EAV7jGMGUlafV3ShxarBtEBL0For_OM8-4VPD4LDVtqmrGaeMxQGdeY5y0sCT1jzuHr40kiVbVJED83z353fNcVyILGKmJIzWZuG-eJtpxFbQAOQXUI2k6Zot0bZbOGqWWZhllIyEXO_mnqfpmqRmPn2y5LLQSZdBaoPuPjItPGODBcqb6WnWOkj26ZcyRe_BI92J1WyOed8TSRI1gz3qsagclzpJLDaNM4nZ8E3NjioqzogRI5KMWWdtKKUNybRkKLMYe_9euCh49t4L0qNQJ5e-kEXfIoQ-LrK971EjIey6_YK-5RSMwbiZJfifvLKjRJGauOAxlARvYNB_sbb_CjJlNuZqEPePpOgzjEcIyYu/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.1,"Ordered two drinks, one passionfruit green tea with grass helly and one milk tea with sago. We ended up having passionfruit green tea without passionfruit and the milk tea with sago without sago. I know mistake happened but this is not the first time and it's getting worse. Both drink are wrong and it wasn't during busy. There wasn't any customer when I got there, I was the only customer and when I left there was still no-one.",-37.8177741,144.96582870000003,(03) 9973 0575,"258 Flinders St, Melbourne VIC 3000, Australia",https://www.coco-tea.com/,ChIJDaDOZDZD1moRfv6Og-Oqncg,Milk Tea,3000
Boost Juice,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 7:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 11:00 AM – 6:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJtwEAr7ZC1moRkvFEuP2uDn8%2Fphotos%2FAciIO2eftfpBdHgYkOCikixFy8A9fQfWSuXgneMHpwZwq6-5CCtSVox164xU70H2jWDhn3C13f2nHfCqG1s9od27Eq3A4zaqs5NI2nnYZT3d-iUsuXrai9X1S0qG6IzCyCRAlRcnY7IijrhSMB4iUYnBdzJQCNfYDBw8F8mQvHGhRkSckc6yYxUNbNdarBS4V7Chg-Pg-Nq8XkKJ3nAN8tts57EQpJgvqr5iI_m5kY7WhLFt2WIQhT_O8zlK-GUgoRzP90up1RV8oaH5V5so1mJ5Q383ix0TijXlpeIR1fv7kKc6EP5PEXQXq9CU1YvNV9j6v1DdMAdLKd9EftHf52eg4nDk0WwoRTWML650J5_dDRgIcaaX97u_FbQK5DPMzz7qoSoZzwvhw2RYJ92KZTz-dmWYDgrVbKEOW5H-R8bS4Fo/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.7,"Cheery, long-standing chain fixing up smoothies & juices with natural ingredients.",-37.8182903,144.96518899999998,(03) 9610 7400,"Flinders St Tenancy 5 Flinders St Station, Melbourne VIC 3000, Australia",http://www.boostjuice.com.au/,ChIJtwEAr7ZC1moRkvFEuP2uDn8,Juice,3000
Seedling Cafe,Monday: 7:30 AM – 3:30 PM | Tuesday: 7:30 AM – 3:30 PM | Wednesday: 7:30 AM – 3:30 PM | Thursday: 7:30 AM – 3:30 PM | Friday: 7:30 AM – 3:30 PM | Saturday: 9:00 AM – 2:00 PM | Sunday: 9:00 AM – 2:00 PM,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places%2FChIJ2f-iFLRC1moRL9heOZ7yBS4%2Fphotos%2FAciIO2f-A9d3RZfziehtrHVLmXANeZuMTCsTn0JOwmZqATuWdkDJHUCl7HYxdbMvS1xBBKkdpdIVJu9EgEJyGGF25zTP3yR-AJCovNtkzzFAMUBLyxpxu0UCwioFZW3BNcFEsCTV0S6ryrb18f_AsvI8IsYu2Eim_VxI_4v-DJwMYgh7r4wu7M6eWpvk9SMFV9pNbPqHUD1H5ZBEz89SL5Dmnap-SZuLGOsYIi7lpP2RfTlNpYzqLnptqUsXPuK_vUn-MXCO3bCCHRGf7-St6HZ0LpLuWfokY0yvNPXF24zYgVidng/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.6,"Cosy destination serving health-conscious, gluten-free cuisine & drinks, plus vegan options.",-37.817068,144.965393,0493 991 489,"275 Flinders Ln, Melbourne VIC 3000, Australia",http://www.seedlingcafe.com.au/,ChIJ2f-iFLRC1moRL9heOZ7yBS4,Cafe,3000
Food Factory at UWS,"Monday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM | Tuesday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM | Wednesday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM | Thursday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM | Friday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM | Saturday: 12:00 – 9:30 PM | Sunday: 12:00 – 9:30 PM",,https://places.googleapis.com/v1/places%2FChIJxyzdn8pd1moR4wFrfQBrJko%2Fphotos%2FAciIO2eZJrwELr6L6e4uE0vPSyCzqvsKdamhZpR6evXQV0BFc66wHOTHtGxRREULXPbzU5ZnwsIELVZkaOL3GdhAoApd2HzDbP6rsXFdP0dwE8JwW7wiWaarPwFA59G1hf2Gohblrk2dDI-rdHkZOPh4rAZR7dpbQF80Q3j42lz_-IN0Hv-fx8IA15uRzJxAvqUC-t1UqbB3DSBMI6n2h3XJFJZZkq37c0RLFwEVORLrU4Vc0YbKxcITtiIJTF8RAB4yT-fHL2zJ_Ox0-HqAX7V8mma3eusVRIqQ1g5YqUQh-39joA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4,"LOVE THIS PLACE SO MUCH! So authentic and on point, I know price is slightly higher but so worth it! The beef brisket and tendon are so tender you can tell how much time they spent to prepare the ingredients! Such convenient location and the options on menu is unbelievably exciting! Highly recommend for lunch and dinner!",-37.815016,144.9541242,0415 288 680,"Shop 409T/411T 33 Rose Ln, Melbourne VIC 3000, Australia",http://www.crystaljademelbourne.com.au/FoodFactory.php,ChIJxyzdn8pd1moR4wFrfQBrJko,Milk Tea,3000
TEA WHITE,Monday: 11:30 AM – 10:30 PM | Tuesday: 11:30 AM – 10:30 PM | Wednesday: 11:30 AM – 10:30 PM | Thursday: 11:30 AM – 10:30 PM | Friday: 11:30 AM – 11:00 PM | Saturday: 11:30 AM – 11:00 PM | Sunday: 11:30 AM – 10:30 PM,,https://places.googleapis.com/v1/places%2FChIJl4zvDB9D1moRsFydbvVT87Y%2Fphotos%2FAciIO2cR40uuZL17JyUczqnujziSZ8pidxSQAngBIjfrHXfuJygfxse26_VELFllNsZ4RfCeFhecLqu-dLOyVOhDkDc1Em3DvRdEy_-A5wdiBSnxJvBUPJHk4KaDLL8NViX-_MF9leoeVQQxFwWM5lTX-6I6uDYT21YxDapRRBivQ5Mh8MNvrtDdiTZ0UN7g2H4lW15cKmCqVjDkfycFm_ZCxJMeB1SQ6--BS89lbrlQ2_0A2oN93UxNWvHfkWHs5XY-FMPCfVAFCqrf1O53-2H6gzlw7rtWhoSXivj6d2vswkucOg/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.9,So good seasonal Fuji apple tea is another level 💕 all other milk tea also so beautifully made,-37.8111515,144.9615513,0430 559 039,"315 Elizabeth St, Melbourne VIC 3000, Australia",,ChIJl4zvDB9D1moRsFydbvVT87Y,Milk Tea,3000
Sol Bowl Lonsdale St,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 1:00 PM | Sunday: 7:00 AM – 1:00 PM,,https://places.googleapis.com/v1/places%2FChIJW4neqE9d1moRliIUP-JuVFc%2Fphotos%2FAciIO2f6PgCil9mSOmZGyBAdMlHzuWviJrMRHAtwXgSN_3BZ-7u6wUjLImmSjPzTkDFVtpHoaFv4uJYIfTNvRJ2nDka37VnH1NuMVomnmvqurKnfrntStV6YNlMA0wtVQTxMQ-VEtkBg6doA1kAUFZaYjBJPSn0sW4SgEG2nIVcuSQ0kcp8FZxfURs59IZD-UUUbbSmj59KgXPFoubErNsSz6gBdDdwrdmZKR4WawFHfLfXurKF8sbrgtd-Qm5Gd3PocsrxmYqNx0kEQgsRC8wpQtYpUY9ICkrWTAafKScPBusoH6CBTBaZIWpnoK7CvYbVDyxN-dn21FdrZGj-H9AHzUzb4oSukOpCQGBr9StW3PXFpw3nSlNMJezQ7h16fyOssYqhZJUoNgLT9Y5Ja8_1OHHb4EJ25DcOSoU0bRGB8oy9s7Zg/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.5,"I recently had the pleasure of visiting SolBowl in Melbourne’s CBD, and let me tell you – this place is a game-changer! They use Amazonia for their acai bowls, and the quality is unmistakable. The smoothie bowls are THIIIIIICK with a perfect, impressive consistency that you rarely find. As someone who still makes homemade smoothie bowls daily, I can confidently say these bowls are just as good, if not better. What really blew me away were the toppings. They are so generous, not just for show, but actually loaded with all the good stuff – fresh fruit, crunchy granola, and other delightful additions. It’s not just about the aesthetics here (although they are definitely Instagram-worthy); these bowls truly deliver on taste and nutrition. This is exactly what an acai or smoothie bowl should be – satisfying, nutrient-dense, and absolutely delicious. I was also impressed to learn that SolBowl uses only organic ingredients, showing their commitment to providing the highest quality for their customers. You can taste the difference, with everything feeling fresh, wholesome, and carefully curated. Having already established three stores in Sydney, SolBowl has finally made its way to Melbourne, and it’s sure to be a hit! Whether you’re a die-hard smoothie bowl fan or someone who just loves a good, healthy meal on the go, SolBowl is a must-visit. Their passion for feel-good, good-mood food is evident in every bowl, and I can’t wait to go back! … [Follow my adventures on instagram @crushinglimits]",-37.8130897,144.9587073,,"Shop 1/456 Lonsdale St, Melbourne VIC 3000, Australia",http://www.solbowl.au/,ChIJW4neqE9d1moRliIUP-JuVFc,Cafe,3000
