name,openinghour,price_level,image,rating,description,lat,lon,phone,address,website,place_id,category,postcode
EDWIN WINE BAR AND CELLAR,,,https://places.googleapis.com/v1/places%2FChIJ1wXG7Lxd1moRzG6ynOg8vhg%2Fphotos%2FAciIO2ewV-FYpXdEilYR5zJthY-Z0CEyz7YWdwv-RoxOv9hN7J05ZvWcvxkR4W6HA0XXUCyqGrmo-kkpe1Y-dooYInJqjUKtCvMj03zT8yr9pEDLBvDI-BxinucIa7ywUS8h0OCBcBkAlNjiSuA7crO23DsXc8jqBWTI-VRbag97FDIp4U2RSFolQ3pSk16uvFJYAEuSE_kiNQ9jhrAW3W2oJnxJkyPLvt3ru6FHrhuxNNET_uaZOcVKawunYyh1WJ5Uxml-fJ8rUqxWMFYPQLe-oj1rnzxWbkn50pWtfzBAjT4mCNuLdTCl4p_mFx_Yxrz-ara5Er4JEVxY6bRcXaRqHuaoTSbgf7fhPfp3U6LEUabbkQeLZ_P5ifu0VsRnZDs77PSX2QrkZ8LAi3bJRtJzXdeXC7XDMkiNI-2WXGiUAmrmTEF4/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.3,"Went there today for our wedding anniversary dinner, the waiter was so helpful with helping to choose our wine. He took a few for us to try and decide from there. The steak was perfectly cooked, mac & cheese small bites was wonderful. Decide was a very good too. | Had a lovely evening and birthday celebration at Edwins. Paul was amazing with his service. He was attentive, thoughtful and professional. Made the evening better :)",-37.8272695,144.9581934,(03) 7004 0400,"308/320 City Rd, Southbank VIC 3000, Australia",http://www.edwinwinebar.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,ChIJ1wXG7Lxd1moRzG6ynOg8vhg,Other,3000
Edwin's Cafe,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,,https://places.googleapis.com/v1/places%2FChIJYdx74pVC1moRfjBB8hO5QJc%2Fphotos%2FAciIO2cHW5pQWECmuipZ7G0KORDGm-xJMGUojU5UnbKhdWldXsi5LRrycodeJUChrATGQfuLVKlpgcOhU_-i71FQkYIOLDZt-Rt0eQLv4wN0MZEFUZDsKZVWbeAUTu0BD39J0DPAbVjbqNpYzD6RHGREYxIzA7PxUZbMeV605KKEOvua3n236_Rs5NEcyQdKKGJE1OG8M7igsw1YZXNCTflcHrvXj92SgeL9KplASONRDKDEy21qqTtmvh8tZK-XrywHZLZJKmAnGeiqTqeNVX7NgA_lLATuOCnDUSGjWiphU13zSMygLf4_N835R55Sa3ItBt3Jj9R6dFQ2qu_ViEpREJDEmKrn62itXfeclJAaY3v4rORLJwcwimqQ9-YE7FYweAoP4vz1d_1ekH5XKXwTCEYhuk0cb5Qe_yj-vcA0oVetUOO_/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.3,"Just here for 2 days and was looking for a nice local cafe for brekky. Food was good quality, very presentable and yummy. I got the pork tocino which was flavourful and not too overpowering. The rice was nice and fluffy. My partner got the bacon and egg roll which came out so much nicer than your average cafe roll. Turkish bread was yum. I enjoyed my matcha too. The service was fantastic, really warm and welcoming waiter who was so attentive and nice. Thanks!! | Came here while my son did a Collingwood holiday camp. Coffee was perfect! Food was spot on too and very well priced. Food was brought to the table with a smile 😁 I'd go back in a heartbeat.",-37.8242764,144.9841059,(03) 9429 9908,"60 Olympic Blvd, Melbourne VIC 3000, Australia",http://www.edwinscafe.com.au/,ChIJYdx74pVC1moRfjBB8hO5QJc,Cafe/Brunch,3000
Salsa's,Monday: 9:30 AM – 3:00 PM | Tuesday: 9:30 AM – 3:00 PM | Wednesday: 9:30 AM – 3:00 PM | Thursday: 9:30 AM – 3:00 PM | Friday: 9:30 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,moderate,https://places.googleapis.com/v1/places%2FChIJH3tdi2dd1moRso39_09pzXI%2Fphotos%2FAciIO2dUEYOUcMS12s1xjiHHnKePG9XET0Mp6I8bbap5mDNCEzxdVN3K7I6hNTltCLMNR-DTAAYStodT9prd-1Ng232dMIbcXoh2YXMmX05jqAb4GelS_PdzyRHfeqD3DlLmK9dSJB1HNdjSQ1zWSox44dxcFGeqaqmlWjAfIpVZ9Yuv8ERMAWbKGBRTLWRj_gqgDnPN6ExvugFklVWfoFjSH2ysjLaJ70NcMzecDJLwnvt7il7c7jnpRTunB-32-hdDMubvXgX9Wzn5pC_-2iK8QL7Nl5-0YxsEjmGYfkDgrJZe0PSKmpnOdws2_2caSU5PHQIlSXhc1JRyzRuJoSPr46YQmqT2k7WTh35Hn6qRvwv-JnvQ_FY7ipczsWQdrO2hloaIAgx5N_NVySIfuawMnyOePaKUgtI7DN1oMkDaWTtyPPRSE5XQnvpKCu-w6A/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,2.8,Casual counter-serve chain known for made-to-order tacos & burritos stuffed with slow-cooked meat.,-37.8205761,144.9502935,(03) 9620 2574,"Shop 22/717 Collins St, Docklands VIC 3000, Australia",http://www.salsas.com.au/,ChIJH3tdi2dd1moRso39_09pzXI,Mexican,3000
Best Western Melbourne City Hotel,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,https://places.googleapis.com/v1/places%2FChIJWXdjjVFd1moRh_LdkkyRy5s%2Fphotos%2FAciIO2cLXY5ftnO6b3ADLLkO6_YFlcI4LB4_G8rPmjtP1FY3buRx8GMxL79fgFKJ4WArFSqg1cW4aaPQQQ9YkTdtza66Hru5GWmBXO0Rg8lgdWj0aIj0tGDFejXSm5Df7DGrWXaW5aBfgsifFEoTKs1l5XN897Y2nHBnItgMG2G9_Ka4sUJMljBEwKrvs3XPefyAlvqwi22HzrOlZvHB0gMrmFe_1gZHbu6xLzFBySEDaP9HNR9yG6921zwodS4mXLBUaPuSfUK7GBrhIZ4CDO3Gg0Pg-g5YgMG-PwWy1D4p7i81LA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.9,"Laid-back hotel featuring a cafe/bar & a rooftop terrace, plus complimentary Wi-Fi.",-37.8206276,144.9551461,(03) 9621 3333,"16 Spencer St, Melbourne VIC 3000, Australia",http://www.bestwesternmelbourne.com.au/,ChIJWXdjjVFd1moRh_LdkkyRy5s,Cafe/Brunch,3000
Domino's Pizza Flinders St,Monday: 10:00 AM – 1:00 AM | Tuesday: 10:00 AM – 1:00 AM | Wednesday: 10:00 AM – 1:00 AM | Thursday: 10:00 AM – 1:00 AM | Friday: 10:00 AM – 3:00 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 1:00 AM,inexpensive,https://places.googleapis.com/v1/places%2FChIJzUeRGVJd1moR8OAx5QG2svk%2Fphotos%2FAciIO2c52hu2ev3kHXcRTuYw9GqLumRlBcPKJFzJxdQwrKID8Obtriyot3vQOx7701D8R17MWJ3WpzM2xfNK6wvQInYWlVaaLNK9ToruWpnv_NNnw1sdra-_Lz7N2B6GruYdW6Aq3gwO06ZRAJXecsmxNhRi0Qp429NCRyibxwfRy7i8YK2pMHKWGL38Pq7kIQrgomuapjnqCnH_xSGNkfqpS-WTbTh8zLlCTVMxipNLnbVQ9Z9FxrOlxi7Lkz33AtJ0pZ3WksdJerdfEoPSx9lsZjTy2zqVrhQFkYKaIDLBwCUQAJQK9fvlos2RsTdudF5_6pQ0iqeJY693Sogm3wi4iU2f4qBYAo_VTNeeLgsVx1csCXp8edlC_204nWU8u617XFA_Z4tmgFlzmhgw38a6MxoX0LOaInoRF8zPUJLryQT42Dn73eFjCIPT3iFSD5UT/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.3,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,-37.8209408,144.9564218,(03) 8347 8220,"Tenancy 2C/555 Flinders St, Melbourne VIC 3000, Australia",https://www.dominos.com.au/?utm_source=google&utm_medium=local&utm_campaign=yext,ChIJzUeRGVJd1moR8OAx5QG2svk,Italian,3000
Tokyo Maki- Melbourne,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 12:00 – 9:00 PM,inexpensive,https://places.googleapis.com/v1/places%2FChIJ0Ux_FlJd1moRZzHQVlx6dEs%2Fphotos%2FAciIO2eZr6fhERTV4QdGenUmC9YpvuHsZ0Bs2wUS6gB5-wA9eKJ534hDBXo-lCdKRbTpMBLUoP0mPQnKtPQWTiHGgLycvHlbKrPsR3en5lDPwD0dXAc7ScVpUUqptBkHkI2HTH5xIxM_v_Hgt2igo-LNrd5XYWofVSG_StEt2ilM9g8NhMhdvMAtz60w2XtkQeh0YBFPVaIqZfjv-LE6Va3EtJjMCXfwPIjiXTqOampz9Z9ZRtxMsJtnJYOIP9SSpaoF_c867pcfA2QIkXbh_dbmYMBEc2eNnmx6u2dgsPrHhvF-ZA/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.6,"Familiar Japanese & Korean standards, including sushi rolls & hot pot, presented in a modest space.",-37.8207967,144.956706,(03) 9620 0375,"547 Flinders St, Melbourne VIC 3000, Australia",,ChIJ0Ux_FlJd1moRZzHQVlx6dEs,Chinese,3000
Tastes Of Senegal,Monday: Closed | Tuesday: Closed | Wednesday: 11:00 AM – 5:00 PM | Thursday: 11:00 AM – 5:00 PM | Friday: 11:00 AM – 5:00 PM | Saturday: 11:00 AM – 5:00 PM | Sunday: 11:00 AM – 5:00 PM,,https://places.googleapis.com/v1/places%2FChIJC-SwU0xd1moRgT8Fsi6A88s%2Fphotos%2FAciIO2fLN1aCsTyUAlkhytB3kSYdTKL-clY4d6YtnWreTHEo-_9VxFKh6e_p8A2eHnpr8M-aHfxEEWP-0G6PYxTNYaCTzl4aDUU18-ZMR6Mzu2WfTc1ux77XMvL1uBTkGlil-YWk-P_G-oTVTn3K4eExEyQ4S9_p5UUTEZ0gdQfIzaaABmpD9_p8sHebk6QjuyXp1FiTuFKqzMX7lQLSLx4Bqg-RiMg5rIAovckwa4eF6_amVfBxbuO5-vE_upJHpVOTfgyyeb2m2-qFnEEztac-byJI06_wxRTCN9km7ZCBdcrlRrkMqNttgeW6gTFFOUW8GFYRPxtZpFZ9lfcRuLQmbiw2ayhWUv7Z7FbjxQ6UG00dEImKqdQFEceBeO4jItQ4UcMVPUwmKORj0DVFhNTuE_fWGVM1kiJ_BwgSIiQsnkiYuw/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.8,"They are parked in front of the waterfall near the NGV gallery in CBD. They get mostly pedestrians who come with their friends and family to the arts centre or just take a stroll. I tried the chicken jollof and potato tornado with African chilli. I really enjoyed all of it with my hibiscus juice. Since they are a food cart, prices are cheaper considering their location. Sitting on the side of the fountain and enjoying some yummy African dishes was truly peaceful. The weather was moderate, which made the experience better. | Always - wherever our youngest sees potato on a stick, he’s suddenly hungry. We all had to taste test this one as it looks impressive. Appears bigger and neatly spaced out with no broken bits, all in perfect proportion. Appears to be battered and fried which made it even more delicious. Lightly seasoned, just right.",-37.8219195,144.969314,0402 105 774,"180 St Kilda Rd, Melbourne VIC 3000, Australia",http://www.tastesofsenegal.com.au/,ChIJC-SwU0xd1moRgT8Fsi6A88s,Other,3000
Grill'd Southern Cross,Monday: 10:30 AM – 10:00 PM | Tuesday: 10:30 AM – 10:00 PM | Wednesday: 10:30 AM – 10:00 PM | Thursday: 10:30 AM – 10:00 PM | Friday: 10:30 AM – 10:30 PM | Saturday: 10:30 AM – 10:30 PM | Sunday: 10:30 AM – 10:00 PM,moderate,https://places.googleapis.com/v1/places%2FChIJGYYnVbRC1moRLlHxcRXg6jo%2Fphotos%2FAciIO2f2cQZCwrDeFtNWs212MBZ94BbVT_8o0h2Zvp1q9HlpHoFzim2UvdUKHizKKSqz0YpOU-f_XHIYR48bAm_k05AM5bUmTrUKdDtvAJyfMMlpAVX81MPyreidpfya-OXrEW1oyixBvdZMGy3YiHtrK5rWYKhlrqjGn_pPnOT0oFTnpuAUImt2Lm4gJE31c7r-qHvki2MG3_TMnYg5vfjwFZiv0CcM5SO38PVV9zTFJgkVK7pa-u_Q9SLglAxz1oJ_a3ZNlPcQvmwjsh3j0jlpd5BVvXNT-7M3D-R9UKwWuBvaAg/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,3.9,"Cool chain for burgers and sliders made from carefully sourced produce, plus low-carb options.",-37.818963,144.9536221,(03) 9670 4100,"Southern Cross Station, Collins St, Melbourne VIC 3000, Australia",https://grilld.com.au/restaurants/victoria/southern-cross?utm_source=google&utm_medium=local&utm_campaign=gbp,ChIJGYYnVbRC1moRLlHxcRXg6jo,Fast Food,3000
The Savoy Hotel on Little Collins Melbourne,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,https://places.googleapis.com/v1/places%2FChIJQTbROE5d1moR3mLmtFMXdus%2Fphotos%2FAciIO2fX9I4Tgh4yKs7x1MSqPH_InkOaNZWpw-aX0tsdzKF8wSoK_q4c9-hWo39t_uP2SMfHHrr_dDSo63a8q4WriZBw3YC5QcUGDWi3CaDvAUZ_oSrtmH5-f4WNyCImcr-cCBd8w1YQjal2loWJ5_kwvpko9bKmj8exRrqVdO5YSE1hzZyfJYoGk135DDNZMgKzVDkQTVQPx5d3elI3BDBAmx5JpFHHjpRBu9Y1-HqyRhQiF1Yp9tfNjzR768fGyhQbM2ojJsnevE4qgHHhJwjKFT5QsoS_TK8se9qrLsIGWcY/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.3,"Refined lodging featuring airy rooms & suites with free Wi-Fi, plus a restaurant & a fitness room.",-37.8177279,144.9539335,(03) 9622 8888,"630 Little Collins St, Melbourne VIC 3000, Australia",https://savoyhotelmelbourne.com/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=savoy-melbourne&utm_term=plcid_8458738175457896609,ChIJQTbROE5d1moR3mLmtFMXdus,Other,3000
The Bottom End,Monday: Closed | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 – 11:00 PM | Saturday: Closed | Sunday: Closed,moderate,https://places.googleapis.com/v1/places%2FChIJ_e4rdk5d1moR1wWNSS4jIH4%2Fphotos%2FAciIO2eHnM6UYVx8l087aDh-HHNlu1mbibyWQYvZqfl0n1bVjdEFOYRFp5T12w76AdJu0xJYia6AZUwQP7V5zsYeLZ0GVTDmRPCyMRXRBp2OXVZLjiCli2rKkQKp-9ddvsMJjL-z0xfnMw4N07QWPr-TXIf0F71Cyz9pyBaLZ-opwl7X2n3Q9m9s058vOhIwWYjZebF5SvCk-F0UAJMdcbJfUabf24RCkucnMtoUnhfUXulGNF6XHQvKiYmWYffbOdkMwtbfw0rr5RZduUkJeP1c70OO1PzdJPNfCkBi9lbJcZzbEeGzLCEe8SVfdyjybKtnhVZufwLWucY7OmNpZihDCoOR22d51tJrz6KujyllRn-pu4Mw-vyi-h2yoa6MGkdQcUH7n_0f0L_qrICj8NvB7CxGtmjURAEHu4SqQ5nZ2iU/media?maxWidthPx=800&key=AIzaSyBXWY6JwLGO0kMVKRf4-ypgEJILQ-L5Q-I,4.1,"Boisterous gastropub with an upstairs nightclub serving beer, cocktails & burgers.",-37.8177961,144.9555902,0423 256 039,"579 Little Collins St, Melbourne VIC 3000, Australia",http://www.thebottomend.com.au/,ChIJ_e4rdk5d1moR1wWNSS4jIH4,Fast Food,3000
