word,count
City,652
Melbourne,635
Food,535
Friendly,473
Coffee,394
Best,383
Delicious,362
Dessert,355
Restaurant,348
Fresh,319
Good,271
Tea,225
Great,196
Chicken,135
Like,128
Experience,125
Nice,125
Perfect,114
Sweet,113
Drinks,112
Bar,107
Even,105
Ordered,102
Spot,100
Taste,97
Quality,92
Highly,91
Atmosphere,89
Tried,89
Rice,84
Dishes,83
Amazing,83
Meal,82
Love,81
Cafe,81
Matcha,79
Milk,77
Serving,75
Order,75
Flavour,74
Absolutely,73
Lunch,72
Plus,72
Than,71
Everything,71
Little,70
Has,70
Options,68
Warm,67
Full,67
Small,66
Served,66
Overall,65
Tasty,65
Hot,64
Super,64
Drink,62
Both,62
Worth,61
About,61
Better,58
Lovely,57
Didn,57
Could,57
Space,57
Them,56
Again,56
Long,56
Next,55
Came,55
Visit,54
Pork,54
Inside,53
Crispy,53
Especially,52
Quick,52
Fried,51
Sauce,51
Shop,50
Don,50
Though,50
Seating,50
Cooked,50
Modern,50
Cocktails,49
Store,49
Rich,49
While,49
Went,49
Quite,49
Soft,49
Big,48
Light,48
Wait,47
Wine,47
Flavours,47
High,47
Busy,47
Such,46
Perfectly,46
Dining,46
Portion,45
Authentic,45
Enjoy,45
Flavor,45
Vibe,45
Breakfast,45
Way,45
Cream,45
Looking,44
Offering,44
Friends,44
Dish,44
Dinner,44
Wasn,43
Something,43
Japanese,43
Eat,43
Beef,42
Right,42
Different,42
Salad,42
Many,42
Find,42
Few,41
Cbd,41
Soup,41
Feel,41
Chain,41
Variety,41
Must,41
Prices,40
Generous,40
Black,40
Making,40
Most,39
Classic,39
New,39
Thai,39
Top,39
She,39
Cozy,39
Street,38
Style,38
People,38
Cheese,38
Kind,38
Creamy,38
Bread,37
Felt,37
Recommended,37
Over,37
Casual,37
Welcoming,36
Desserts,36
Korean,36
Truly,36
Want,36
Meat,35
Coming,35
Enjoyed,35
Any,35
Down,35
Customer,35
Dumplings,35
Spicy,35
Decent,35
Work,34
Bowl,34
Beautifully,34
Meals,34
Nothing,34
Bubble,34
Fast,33
Times,33
Attentive,33
Mango,33
Chips,33
Tables,33
Excellent,33
Asked,33
Chic,33
Loved,32
Side,32
Each,32
Favourite,32
Refreshing,32
Latte,32
Chocolate,32
Open,32
Unique,31
Take,31
Tender,31
Selection,31
During,31
Ingredients,31
Strawberry,30
Seafood,30
Helpful,30
Friend,30
Clean,30
Ice,30
Tasted,30
Thank,29
Trying,29
Pizza,29
Outside,29
Did,29
Balanced,29
Anyone,29
See,29
Beer,29
Decor,29
Traditional,29
Egg,29
Without,29
Asian,29
Takeaway,28
Into,28
Pearls,28
Tastes,28
Simple,28
Burgers,28
Italian,28
Away,28
Visited,28
Enough,28
Size,27
Bad,27
Special,27
Pretty,27
Customers,27
Easy,27
Texture,27
Happy,27
Roll,27
Value,26
Salmon,26
Cute,26
Now,26
Cake,26
Serve,26
Cuisine,26
Green,26
Cold,26
Walls,26
Plates,26
Hard,26
Today,26
Fantastic,26
Flavors,26
Free,26
Think,26
Juicy,26
Her,26
Counter,26
Home,26
Buffet,25
Incredibly,25
Left,25
Lemon,25
Filling,25
Satisfying,25
White,25
Sushi,25
Give,25
Gave,25
Family,25
Room,25
Took,25
Less,25
Said,25
Sure,24
Short,24
These,24
Smooth,24
Sugar,24
Bite,24
Range,24
Items,24
Kitchen,24
Reasonable,24
Cup,24
Coconut,23
Steak,23
Croissant,23
Chinese,23
Table,23
Morning,23
Disappointed,23
Usually,23
Extra,23
Beautiful,23
Amount,23
Off,23
Cakes,22
His,22
Red,22
Relaxed,22
Makes,22
Sandwich,22
Affordable,22
Slightly,22
Teas,22
Highlight,22
Might,22
Venue,22
Places,22
Craving,22
Plenty,21
Signature,21
Those,21
Huge,21
Available,21
Found,21
Noodles,21
Care,21
Local,21
Another,21
However,21
Minutes,21
Toppings,21
Team,21
Large,21
Setting,21
Yummy,20
Standard,20
Popular,20
Choice,20
Featuring,20
Itself,20
Feels,20
Know,20
Real,20
Sandwiches,20
Hours,20
Being,20
Done,20
Say,20
Pleasant,20
Presented,20
Market,20
Everyone,19
Late,19
Fruit,19
Burger,19
Gem,19
Extremely,19
Unfortunately,19
Decided,19
Spacious,19
Duck,19
Level,19
Tell,19
Wonderful,19
Pastries,19
Including,19
Incredible,19
Hidden,19
Offer,19
Pan,19
Bbq,19
Packed,19
Fun,19
Pho,19
Portions,19
Live,19
Pub,18
Fish,18
Location,18
Own,18
Three,18
Sweetness,18
Grilled,18
Money,18
Looks,18
Seats,18
Set,18
Couple,18
Flavorful,18
Bingsu,18
Quickly,18
Vietnamese,18
Almost,17
Outstanding,17
Salty,17
Offered,17
Yet,17
Choose,17
Honestly,17
Bento,17
Favorite,17
Known,17
Actually,17
Far,17
Instead,17
Onigiri,17
Chewy,17
Share,17
Basic,17
Combo,17
Trendy,17
List,17
Hotel,17
Art,17
Standout,17
Same,17
Option,17
Professional,17
Baked,16
Put,16
Doesn,16
Lamb,16
Although,16
Absolute,16
Won,16
Visiting,16
Snacks,16
Limited,16
Early,16
Either,16
Looked,16
Line,16
Through,16
Wide,16
Interior,16
Comforting,16
Freshly,16
Music,16
Rustic,16
Brunch,16
Disappointing,16
Hearty,16
Low,16
Thanks,16
Years,16
Stylish,16
Rolls,16
Compared,16
Thing,16
Fluffy,15
Expect,15
Days,15
Member,15
Polite,15
Person,15
Interesting,15
Industrial,15
Often,15
Presentation,15
Keep,15
Offers,15
Old,15
House,15
Bustling,15
Delightful,15
Owner,15
Prawn,15
Garlic,15
Together,15
Cosy,15
Healthy,15
Photos,15
Wow,15
Yogurt,15
Caf,15
Comfort,15
Butter,15
Able,14
Need,14
Let,14
Beans,14
Added,14
Balance,14
Couldn,14
Vegan,14
Outdoor,14
Recently,14
Detail,14
Review,14
Show,14
Weekend,14
Fine,14
Mouth,14
Strong,14
Start,14
Regular,14
Sit,14
Already,14
Collins,14
Pick,14
Stop,14
Cool,14
Jelly,14
Smile,14
Mexican,14
Pot,14
Iced,14
Steamed,14
Skewers,14
Bites,14
Salads,14
Banh,14
Curry,14
Birthday,14
Crunchy,14
Delivers,14
Hip,14
Brick,14
Creative,14
Contemporary,14
Finish,14
Wines,14
Australian,13
Spring,13
Things,13
Mins,13
Since,13
Working,13
Spice,13
Seasonal,13
Comes,13
Star,13
Noodle,13
Mix,13
Rare,13
Priced,13
Cheap,13
Bakery,13
Isn,13
Whole,13
Use,13
Soon,13
Famous,13
Filled,13
Mains,13
Indian,13
